Transaction Hash,Block Number,Timestamp,Gas Price (Gwei),Gas Used,Number of Inputs,Max Merkle Tree Depth,Chain,Timestamp_Rounded,timestamp,ETH Price (USD),Gas Price (ETH),Total Cost (ETH),Total Cost (USD)
66d70b61a2563811d1abd6cc16c770778e7548f07aadd0471565b1a3dccdcf1d,16177588,2024-09-20 21:30:10,0.439,621998,4,2,Polygon,2024-09-20,2024-09-20 20:14:25.374,2540.3410750861212,4.3900000000000003e-10,0.000273057122,0.6936582228614022
bd1b1a06bf1bb01667676cd9d26a68436d085fa33aa4eab50c3909fc13a14dbe,9726321,2024-09-20 22:00:04,0.095,824858,11,4,Linea,2024-09-20,2024-09-20 21:33:37.933,2548.381140002408,9.500000000000001e-11,7.836151000000001e-05,0.19969499418611011
f9bf312d7ce0efa348a7f4ef051bb7627a24172a4699a4fea25eeac70eb56123,16178181,2024-09-20 22:00:09,0.205,636031,4,2,Polygon,2024-09-20,2024-09-20 21:33:37.933,2548.381140002408,2.05e-10,0.00013038635499999999,0.33227412799565864
e7c55f3d40cee80b745cadc60ce12dba52000ca1c6ca20db17ce3f9f21d5d636,9727203,2024-09-20 22:30:02,0.093137367,842982,11,4,Linea,2024-09-20,2024-09-20 22:25:41.852,2549.8859946827465,9.3137367e-11,7.8513123908394e-05,0.20019951505280498
115a14eba56e1f2cd72a75d217eaf3d6c9b6693d574e949c50d6c8a95aace73b,16178773,2024-09-20 22:30:07,0.378,622010,4,2,Polygon,2024-09-20,2024-09-20 22:25:41.852,2549.8859946827465,3.7800000000000004e-10,0.00023511978000000002,0.5995286340948885
3f88306cc8e211c6b5c25c3a8fcd6e0effc20fb70c833a9a7c5406d606089af8,9728084,2024-09-20 23:00:04,0.098,831989,11,4,Linea,2024-09-20,2024-09-20 22:25:41.852,2549.8859946827465,9.800000000000001e-11,8.153492200000001e-05,0.2079047556853502
7935d3e32f7844954bfda44214a1870621ce83a70cc300d8fdac13433c6b4634,16179369,2024-09-20 23:00:10,0.279,629021,4,2,Polygon,2024-09-20,2024-09-20 22:25:41.852,2549.8859946827465,2.79e-10,0.000175496859,0.44749698287491274
2b76e780671d619d1b45003fb7b78802bf1e41456079092184cb4dd6d1d0fdb3,9728953,2024-09-20 23:30:03,0.102,829149,11,4,Linea,2024-09-20,2024-09-20 23:08:21.343,2548.463929589242,1.02e-10,8.4573198e-05,0.21553174451300902
6f75a171d5ca4298b3bafef98acaed55e35ab47339fd713be79b6cfebf9aa084,16179963,2024-09-20 23:30:07,0.246,635951,4,2,Polygon,2024-09-20,2024-09-20 23:08:21.343,2548.463929589242,2.4600000000000003e-10,0.00015644394600000002,0.39869175338360724
f5e56f863984f118df57212589ab5daf75b089f6ece58d8e938b53ef80f08775,9729832,2024-09-21 00:00:04,0.097582946,831917,11,4,Linea,2024-09-21,2024-09-20 23:08:21.343,2548.463929589242,9.758294600000001e-11,8.118091168748201e-05,0.20688662520671763
582d5179aa4e05ffa43d6e1b7c5197a223f6339372136cb292767384680d90a8,16180558,2024-09-21 00:00:09,0.179,635952,4,2,Polygon,2024-09-21,2024-09-20 23:08:21.343,2548.463929589242,1.79e-10,0.000113835408,0.29010543119807464
8ed9271f361d5f9d5bab65ef073578469bb75cae76b99b46063dbef0ee7f85d8,9730715,2024-09-21 00:30:02,0.087616608,822142,11,4,Linea,2024-09-21,2024-09-21 00:15:23.860,2559.236680178645,8.761660800000001e-11,7.203329333433601e-05,0.18435024649530063
e637f5719317e22cc2daa4cf7b178f1a18f2e98a1f0e726c442047463680dd19,16181156,2024-09-21 00:30:09,0.458,621906,4,2,Polygon,2024-09-21,2024-09-21 00:15:23.860,2559.236680178645,4.58e-10,0.000284832948,0.7289549282450167
d87c1370a440fdb7a8fb06c190471f775de5f0a1d62c2537d1991e9b6fd33d7c,9731594,2024-09-21 01:00:04,0.079155383,838856,11,4,Linea,2024-09-21,2024-09-21 00:15:23.860,2559.236680178645,7.9155383e-11,6.6399967961848e-05,0.1699332335706483
d8a098795fba00cf8a4345ca2af535b4eaff81bacb4c7b3795f61acf443260d5,16181752,2024-09-21 01:00:08,0.203,629077,4,2,Polygon,2024-09-21,2024-09-21 00:15:23.860,2559.236680178645,2.0300000000000002e-10,0.00012770263100000002,0.3268212574105186
699a1f0eedf2d539b3277518dacf576db3222d55cbe91fd6b5bc4c24f90817e1,9732489,2024-09-21 01:30:06,0.085977415,838879,11,4,Linea,2024-09-21,2024-09-21 01:26:01.904,2564.3111215479116,8.597741500000001e-11,7.2124647917785e-05,0.18495003679330352
cf6342ef3468a7e79830e8d88a896018993254542afbcf0993fe818d2a88134e,16182351,2024-09-21 01:30:09,0.126,621974,4,2,Polygon,2024-09-21,2024-09-21 01:26:01.904,2564.3111215479116,1.26e-10,7.8368724e-05,0.20096179053471874
277c270ad73d38da661cbd8a6b91eaac9277d893c2e8dea9752955f560fb0a02,9733381,2024-09-21 02:00:03,0.075590841,824942,11,4,Linea,2024-09-21,2024-09-21 01:26:01.904,2564.3111215479116,7.559084100000001e-11,6.2358059556222e-05,0.1599054656381671
627bcd4451d0dce35d881a02b3262acebd08afdf844ecc4929241e6bd55ef959,16182947,2024-09-21 02:00:06,0.139,621930,4,2,Polygon,2024-09-21,2024-09-21 01:26:01.904,2564.3111215479116,1.39e-10,8.644827e-05,0.22168026019957668
